image_id,rescued_by_msp,rescued_by_entropy,rescued_by_margin,rescued_by_disagreement,rescued_by_lambda_rule,n_mechanisms,mechanism_subset
ISIC_0025611,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025637,0,0,0,1,0,1,disagreement
ISIC_0025712,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0025755,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0025791,0,0,0,0,0,0,none
ISIC_0025831,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0025835,1,1,1,0,0,3,msp+entropy+margin
ISIC_0025891,0,0,0,0,0,0,none
ISIC_0025948,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026009,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026156,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026171,0,0,0,0,0,0,none
ISIC_0026203,0,0,0,0,0,0,none
ISIC_0026236,0,0,0,1,0,1,disagreement
ISIC_0026247,0,0,0,0,0,0,none
ISIC_0026266,0,0,0,0,0,0,none
ISIC_0026321,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0026362,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026433,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0026558,1,0,1,1,0,3,msp+margin+disagreement
ISIC_0026596,0,0,0,0,0,0,none
ISIC_0026664,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026697,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026774,0,0,0,0,0,0,none
ISIC_0026829,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0026868,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0026892,0,1,1,0,0,2,entropy+margin
ISIC_0026930,0,0,0,0,0,0,none
ISIC_0026976,0,0,0,1,0,1,disagreement
ISIC_0027033,0,0,0,1,0,1,disagreement
ISIC_0027100,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027178,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027204,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027231,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027282,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027337,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027343,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027350,0,0,0,0,0,0,none
ISIC_0027352,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0027420,1,0,1,0,0,2,msp+margin
ISIC_0027452,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0027507,0,0,0,0,0,0,none
ISIC_0027546,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0027561,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0027668,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0027700,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027719,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027721,1,1,1,0,0,3,msp+entropy+margin
ISIC_0027742,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027767,0,0,0,1,0,1,disagreement
ISIC_0027822,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027832,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0027858,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0027930,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028041,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028056,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0028065,0,0,0,0,0,0,none
ISIC_0028087,1,0,1,1,0,3,msp+margin+disagreement
ISIC_0028103,0,1,0,1,0,2,entropy+disagreement
ISIC_0028109,0,0,0,1,0,1,disagreement
ISIC_0028148,0,0,0,0,0,0,none
ISIC_0028158,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028225,1,0,1,0,0,2,msp+margin
ISIC_0028285,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0028317,1,0,1,1,0,3,msp+margin+disagreement
ISIC_0028415,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0028467,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0028489,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028493,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028499,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028582,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0028619,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0028644,0,0,0,0,0,0,none
ISIC_0028666,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0028677,0,0,0,0,0,0,none
ISIC_0028696,1,0,1,0,0,2,msp+margin
ISIC_0028739,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028763,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0028847,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0028969,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0029141,0,0,0,0,0,0,none
ISIC_0029272,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0029323,0,0,0,0,0,0,none
ISIC_0029343,0,0,0,0,0,0,none
ISIC_0029417,1,0,1,1,0,3,msp+margin+disagreement
ISIC_0029495,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0029513,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0029647,0,0,0,1,0,1,disagreement
ISIC_0029660,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0029705,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0029715,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0029740,0,0,0,0,0,0,none
ISIC_0029958,0,0,0,1,0,1,disagreement
ISIC_0030047,0,0,0,0,0,0,none
ISIC_0030171,0,0,0,0,0,0,none
ISIC_0030183,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0030255,0,0,0,0,0,0,none
ISIC_0030552,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0030653,0,0,0,0,0,0,none
ISIC_0030655,0,1,0,1,0,2,entropy+disagreement
ISIC_0030687,0,0,0,0,0,0,none
ISIC_0030689,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0030730,0,0,0,1,0,1,disagreement
ISIC_0030756,1,1,1,0,0,3,msp+entropy+margin
ISIC_0030766,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0030795,1,1,1,0,0,3,msp+entropy+margin
ISIC_0030818,0,0,0,0,0,0,none
ISIC_0030821,0,1,0,1,0,2,entropy+disagreement
ISIC_0030828,1,1,1,0,0,3,msp+entropy+margin
ISIC_0030843,0,0,0,0,0,0,none
ISIC_0031025,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0031077,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031171,0,0,0,1,0,1,disagreement
ISIC_0031225,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031243,0,0,0,0,0,0,none
ISIC_0031421,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0031430,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0031498,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0031520,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0031543,0,1,0,1,0,2,entropy+disagreement
ISIC_0031550,0,0,0,0,0,0,none
ISIC_0031597,1,1,1,0,0,3,msp+entropy+margin
ISIC_0031709,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031746,1,1,1,0,0,3,msp+entropy+margin
ISIC_0031778,1,1,1,0,0,3,msp+entropy+margin
ISIC_0031779,0,0,0,0,0,0,none
ISIC_0031789,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031821,0,0,0,0,0,0,none
ISIC_0031890,1,0,1,1,0,3,msp+margin+disagreement
ISIC_0031908,1,1,1,0,0,3,msp+entropy+margin
ISIC_0031957,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0031977,0,0,0,1,0,1,disagreement
ISIC_0032036,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0032046,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032072,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032132,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032139,1,1,1,0,0,3,msp+entropy+margin
ISIC_0032220,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032245,0,0,0,0,0,0,none
ISIC_0032258,0,1,0,0,0,1,entropy
ISIC_0032269,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0032287,0,0,0,0,0,0,none
ISIC_0032307,0,0,0,0,0,0,none
ISIC_0032372,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032425,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0032441,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0032462,0,0,0,0,0,0,none
ISIC_0032592,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0032629,1,1,1,0,0,3,msp+entropy+margin
ISIC_0032662,0,0,0,0,0,0,none
ISIC_0032726,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032816,0,0,0,1,0,1,disagreement
ISIC_0032841,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032870,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032875,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032968,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032991,0,0,0,1,0,1,disagreement
ISIC_0033029,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033054,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0033151,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033152,0,0,1,1,0,2,margin+disagreement
ISIC_0033174,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0033175,0,0,0,0,0,0,none
ISIC_0033203,0,0,0,1,0,1,disagreement
ISIC_0033218,0,0,0,1,0,1,disagreement
ISIC_0033226,1,1,1,0,0,3,msp+entropy+margin
ISIC_0033323,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0033336,0,0,0,0,0,0,none
ISIC_0033362,1,1,1,0,0,3,msp+entropy+margin
ISIC_0033366,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033405,0,0,0,0,0,0,none
ISIC_0033416,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0033452,1,1,1,0,0,3,msp+entropy+margin
ISIC_0033454,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033485,0,0,0,0,0,0,none
ISIC_0033586,0,0,0,0,0,0,none
ISIC_0033593,0,0,0,0,0,0,none
ISIC_0033611,0,0,0,0,0,0,none
ISIC_0033643,0,0,0,0,0,0,none
ISIC_0033666,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033670,0,0,0,0,0,0,none
ISIC_0033717,0,0,0,0,0,0,none
ISIC_0033802,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0033811,0,0,0,0,0,0,none
ISIC_0033814,0,1,0,1,0,2,entropy+disagreement
ISIC_0033863,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033866,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033886,0,0,0,0,0,0,none
ISIC_0033938,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033957,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033985,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0034005,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0034062,1,1,0,0,0,2,msp+entropy
ISIC_0034120,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0034141,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0034172,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0034173,1,1,1,1,0,4,msp+entropy+margin+disagreement
ISIC_0034188,0,0,0,0,0,0,none
