image_id,rescued_by_msp,rescued_by_entropy,rescued_by_margin,rescued_by_disagreement,rescued_by_lambda_rule,n_mechanisms,mechanism_subset
ISIC_0030014,0,1,0,0,1,2,entropy+lambda_rule
ISIC_0030122,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0030129,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0030230,0,0,0,0,0,0,none
ISIC_0030238,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0030277,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0030281,0,1,0,0,1,2,entropy+lambda_rule
ISIC_0030356,0,0,0,0,1,1,lambda_rule
ISIC_0030390,0,0,0,0,0,0,none
ISIC_0030391,0,0,0,0,1,1,lambda_rule
ISIC_0030564,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0030623,0,0,0,0,1,1,lambda_rule
ISIC_0030754,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0030759,0,0,0,0,0,0,none
ISIC_0030760,0,0,0,0,1,1,lambda_rule
ISIC_0030898,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031233,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031368,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031389,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031526,0,0,0,0,0,0,none
ISIC_0031529,0,0,0,0,0,0,none
ISIC_0031554,0,0,0,0,0,0,none
ISIC_0031565,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031728,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031741,0,0,1,0,1,2,margin+lambda_rule
ISIC_0031745,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0031844,0,0,0,0,1,1,lambda_rule
ISIC_0031900,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0031999,0,0,0,0,0,0,none
ISIC_0032152,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0032197,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032265,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0032526,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0032537,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0032552,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032598,0,0,0,0,0,0,none
ISIC_0032610,0,0,1,0,1,2,margin+lambda_rule
ISIC_0032645,0,0,0,0,0,0,none
ISIC_0032690,0,1,0,1,1,3,entropy+disagreement+lambda_rule
ISIC_0032766,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0032807,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0032812,0,0,0,0,0,0,none
ISIC_0032833,0,0,0,0,1,1,lambda_rule
ISIC_0032836,0,0,0,0,1,1,lambda_rule
ISIC_0032847,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0032918,0,1,0,0,1,2,entropy+lambda_rule
ISIC_0032981,0,0,0,0,1,1,lambda_rule
ISIC_0033081,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0033099,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0033120,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0033122,0,1,0,0,1,2,entropy+lambda_rule
ISIC_0033141,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033186,0,0,0,0,1,1,lambda_rule
ISIC_0033241,0,0,0,0,0,0,none
ISIC_0033287,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033300,0,0,0,0,0,0,none
ISIC_0033302,0,0,0,0,0,0,none
ISIC_0033377,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033387,0,0,0,0,1,1,lambda_rule
ISIC_0033424,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033432,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0033444,1,0,1,1,1,4,msp+margin+disagreement+lambda_rule
ISIC_0033496,0,0,1,0,1,2,margin+lambda_rule
ISIC_0033546,0,0,0,0,0,0,none
ISIC_0033568,0,0,0,0,1,1,lambda_rule
ISIC_0033573,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0033607,0,0,0,0,0,0,none
ISIC_0033612,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033616,0,0,0,0,0,0,none
ISIC_0033619,0,0,0,0,0,0,none
ISIC_0033638,0,0,0,0,0,0,none
ISIC_0033654,0,0,0,0,1,1,lambda_rule
ISIC_0033668,0,0,0,0,0,0,none
ISIC_0033713,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0033752,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0033805,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0033883,0,0,0,0,1,1,lambda_rule
ISIC_0034051,1,1,1,1,1,5,msp+entropy+margin+disagreement+lambda_rule
ISIC_0034065,0,0,0,0,0,0,none
ISIC_0034071,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0034145,1,0,1,0,1,3,msp+margin+lambda_rule
ISIC_0034183,0,0,0,0,1,1,lambda_rule
ISIC_0034205,0,0,0,0,1,1,lambda_rule
ISIC_0034236,1,1,1,0,1,4,msp+entropy+margin+lambda_rule
ISIC_0034289,0,0,0,0,0,0,none
